SOUTHEASTERN LOUISIANA UNIVSERITY
HAMMOND, LA 70402

JOHN SMITH
W1234567

FALL 2014
COURSE         TITLE                         GR   EARNED     QPTS
CMPS 161       ALGORITHM DSGN/IMPLMNT I      A    3.00
ENGL 101       FRESHMAN COMPOSITION          A    3.00
MATH 200       CALCULUS I                    B    5.00
HIST 101       WESTERN CIVILIZATION TO 1500  B    3.00

SPRING 2015
CMPS 280       ALGORITHM DSGN/IMPLMNT II     A    3.00
ENGL 102       CRITICAL READING AND WRITING  B    3.00
MATH 201       CALCULUS II                   C    5.00

SUMMER 2015
COMM 211       INTRO TO PUBLIC SPEAKING      B    3.00
ENGL 232       AMERICAN LITERATURE           A    3.00
